CardNo,Sex,Major,Card_Count,Frequency,Most_Frequent_Place,Avg_Storage,Avg_Spending
180041,女,18国际金融,324.0,6,第二食堂,308.90000000000003,0.6733333333333333
180042,女,18国际金融,793.0,90,第二食堂,52.67444444444444,10.889999999999999
180045,女,18国际金融,858.0,123,第二食堂,52.69024390243902,15.76
180046,女,18国际金融,684.0,77,第三食堂,43.567532467532466,10.083333333333334
180047,女,18国际金融,586.0,31,第五食堂,60.34193548387096,3.796666666666667
180048,女,18国际金融,704.0,96,第五食堂,106.506875,8.483333333333333
180049,女,18国际金融,521.0,27,第四食堂,54.63703703703704,5.15
180051,女,18国际金融,458.0,73,第五食堂,44.59041095890411,7.843333333333334
180052,女,18国际金融,844.0,94,第五食堂,86.03191489361703,12.21
180053,女,18国际金融,516.0,33,第四食堂,81.2969696969697,12.96
180054,女,18国际金融,437.0,55,第五食堂,118.00636363636364,5.503333333333333
180055,女,18国际金融,723.0,109,第五食堂,79.25963302752292,7.819999999999999
180058,女,18国际金融,660.0,68,第五食堂,47.21794117647059,7.9
180059,女,18国际金融,560.0,75,第五食堂,89.20400000000001,6.556666666666667
180061,女,18国际金融,741.0,120,第五食堂,30.00583333333333,7.4366666666666665
180063,女,18国际金融,847.0,67,第五食堂,26.707462686567165,3.3466666666666667
180064,女,18国际金融,499.0,58,第五食堂,72.9793103448276,5.92
180065,女,18国际金融,660.0,80,第五食堂,43.21625,5.1
180066,女,18国际金融,637.0,79,第二食堂,74.73898734177216,7.019
180067,女,18国际金融,347.0,35,第五食堂,43.69714285714286,5.096666666666667
180069,女,18国际金融,643.0,76,第五食堂,68.82631578947368,11.756666666666666
180070,女,18国际金融,606.0,44,好利来食品店,76.87045454545455,13.08
180071,女,18国际金融,1065.0,116,第一食堂,56.050000000000004,11.503333333333334
180074,男,18会计,763.0,92,第五食堂,64.61630434782609,14.443333333333333
180075,男,18会计,361.0,6,第五食堂,12.839999999999998,0.8533333333333334
180076,男,18会计,614.0,63,第五食堂,136.4047619047619,8.053333333333333
180077,男,18会计,816.0,88,第五食堂,132.91363636363636,14.22
180078,男,18会计,546.0,46,第五食堂,140.8086956521739,7.336666666666667
180079,男,18会计,413.0,62,第五食堂,79.68870967741935,10.013333333333332
180080,男,18会计,728.0,65,第五食堂,75.33076923076923,14.51
180081,女,18会计,626.0,60,第五食堂,35.42666666666666,7.02
180082,女,18会计,751.0,91,第五食堂,60.6010989010989,9.06
180083,女,18会计,764.0,84,第三食堂,41.52952380952381,9.42
180084,女,18会计,890.0,68,第五食堂,84.36176470588236,13.233333333333333
180085,女,18会计,835.0,102,第五食堂,54.78431372549019,11.503333333333334
180086,女,18会计,743.0,110,第五食堂,44.28181818181818,10.126666666666667
180087,女,18会计,752.0,90,第三食堂,63.57555555555556,10.56
180088,女,18会计,521.0,48,第五食堂,44.956250000000004,4.9433333333333325
180089,女,18会计,455.0,73,第二食堂,68.38219178082191,5.97
180090,女,18会计,351.0,59,第五食堂,53.18305084745763,8.19
180091,女,18会计,700.0,104,第五食堂,131.06346153846155,17.793333333333333
180092,女,18会计,636.0,72,第三食堂,58.86805555555556,10.78
180093,女,18会计,357.0,12,第五食堂,177.25,1.98
180094,女,18会计,623.0,67,第二食堂,83.55074626865671,9.26
180095,女,18会计,840.0,84,第三食堂,113.54047619047618,15.236666666666668
180096,女,18会计,826.0,91,第五食堂,55.94395604395604,8.78
180097,女,18会计,543.0,40,第五食堂,128.4025,8.316666666666666
180098,女,18会计,754.0,86,第三食堂,67.12279069767442,12.406666666666666
180099,女,18会计,414.0,68,第四食堂,53.51323529411765,15.416666666666666
180100,女,18会计,444.0,19,第三食堂,44.67368421052631,2.4633333333333334
180101,女,18会计,105.0,28,第二食堂,45.253571428571426,4.993333333333334
180102,女,18会计,339.0,44,第五食堂,54.02045454545455,6.113333333333333
180104,女,18会计,785.0,87,第五食堂,110.20344827586207,8.983333333333333
180105,女,18会计,896.0,125,第五食堂,58.3752,12.023333333333333
180106,女,18会计,840.0,106,第五食堂,89.73962264150943,9.386666666666667
180107,女,18会计,144.0,41,第三食堂,46.5609756097561,7.613333333333333
180108,女,18会计,918.0,112,第五食堂,147.56607142857143,12.946666666666665
180109,女,18会计,708.0,95,第五食堂,174.93157894736842,6.916666666666667
180110,女,18会计,477.0,54,第四食堂,71.04629629629629,8.013333333333334
180111,女,18会计,1120.0,131,第三食堂,54.551908396946565,6.873333333333333
180112,女,18会计,691.0,72,第五食堂,118.48055555555555,13.59
180113,女,18会计,939.0,122,第五食堂,46.208196721311474,9.68
180114,女,18会计,877.0,98,第三食堂,82.64897959183673,9.946666666666665
180115,女,18会计,382.0,57,第二食堂,45.347368421052636,8.363333333333333
180117,女,18会计,748.0,44,第一食堂,169.91590909090908,3.856666666666667
180118,女,18会计,829.0,83,第五食堂,45.778313253012044,6.753333333333333
180119,女,18会计,509.0,26,第五食堂,38.23076923076923,2.8333333333333335
180120,女,18会计,460.0,47,第二食堂,71.69893617021276,7.010000000000001
180121,女,18会计,598.0,65,第五食堂,92.53230769230768,6.84
180122,女,18会计,736.0,93,第三食堂,94.70645161290324,7.75
180123,女,18会计,761.0,83,第五食堂,57.150963855421686,10.743333333333334
180124,女,18会计,686.0,62,第四食堂,52.05483870967742,9.503333333333334
180125,女,18会计,946.0,95,第五食堂,83.60842105263158,8.313333333333334
180126,女,18会计,572.0,53,第五食堂,65.88867924528302,6.3566666666666665
180127,女,18会计,436.0,44,第二食堂,51.39318181818182,4.466666666666667
180131,女,18会计,687.0,77,第二食堂,71.6,10.5
180132,女,18会计,618.0,64,第三食堂,72.88125,7.96
180133,女,18会计,898.0,90,第三食堂,70.60777777777777,8.276666666666667
180134,女,18会计,312.0,12,第四食堂,47.708333333333336,2.7366666666666664
180135,女,18会计,798.0,114,第五食堂,108.2798245614035,7.043333333333334
180136,女,18会计,666.0,89,第五食堂,101.8241573033708,4.233333333333333
180137,女,18会计,881.0,123,第五食堂,98.24552845528456,6.863333333333333
180138,女,18会计,480.0,60,好利来食品店,48.031666666666666,7.29
180139,女,18会计,779.0,95,第五食堂,65.32842105263158,9.573333333333332
180140,女,18会计,439.0,63,第五食堂,192.94761904761907,12.729999999999999
180141,女,18会计,945.0,64,第五食堂,42.0578125,5.54
180142,女,18会计,668.0,100,第二食堂,58.428999999999995,8.1
180143,女,18会计,790.0,116,第二食堂,64.99137931034483,20.18
180144,女,18会计,797.0,94,第三食堂,55.70106382978723,13.106666666666666
180145,女,18会计,633.0,80,第五食堂,59.38375,7.636666666666667
180146,女,18会计,752.0,92,第五食堂,51.16869565217391,14.426666666666668
180147,女,18会计,583.0,62,第三食堂,100.19516129032259,10.786666666666667
180148,女,18会计,599.0,54,第五食堂,53.71,8.82
180149,女,18会计,861.0,88,第三食堂,101.90136363636363,10.605333333333334
180150,女,18会计,407.0,57,第五食堂,63.18947368421052,12.29
180151,女,18会计,651.0,100,第五食堂,146.658,8.96
180153,女,18会计,980.0,125,第五食堂,52.372800000000005,11.756666666666666
180154,女,18会计,574.0,63,第四食堂,43.36190476190476,14.316666666666666
180155,女,18会计,294.0,16,第四食堂,86.36875,3.1
180156,女,18会计,419.0,24,第五食堂,42.391666666666666,3.216666666666667
180158,女,18会计,425.0,2,水电缴费处,2.1,3.3400000000000003
180159,女,18会计,925.0,134,第五食堂,64.91567164179105,10.46
180160,女,18会计,589.0,59,第三食堂,35.855932203389834,6.66
180162,女,18会计,614.0,89,第五食堂,84.32808988764044,14.153333333333334
180164,女,18会计,866.0,128,第五食堂,46.21328125,8.38
180165,女,18会计,952.0,79,第五食堂,69.00253164556962,4.576666666666667
180166,女,18会计,654.0,70,第五食堂,140.62571428571428,13.186666666666667
180167,女,18会计,1141.0,158,第五食堂,122.16012658227848,8.726666666666667
180168,女,18会计,406.0,35,第二食堂,103.89285714285714,6.3100000000000005
180169,女,18会计,821.0,111,第五食堂,50.465405405405406,11.836666666666668
180170,女,18会计,787.0,110,第五食堂,48.45,11.056666666666667
180171,女,18会计,801.0,83,第五食堂,126.68795180722891,9.47
180172,女,18会计,540.0,58,第五食堂,61.11896551724138,8.193333333333333
180173,女,18会计,682.0,97,第五食堂,50.7360824742268,9.333333333333334
180175,女,18会计,1069.0,115,第一食堂,73.08782608695653,12.71
180176,女,18会计,924.0,108,第三食堂,48.66481481481482,12.103333333333333
180177,女,18会计,912.0,123,第三食堂,116.40162601626015,13.376666666666667
180178,女,18会计,381.0,70,第一食堂,26.981428571428573,5.6066666666666665
180179,女,18会计,571.0,43,第五食堂,67.71395348837208,4.489999999999999
180180,女,18会计,165.0,14,第五食堂,38.49285714285714,1.6533333333333333
180181,女,18会计,473.0,56,第五食堂,132.7125,9.206666666666667
180182,女,18会计,769.0,80,第五食堂,109.91875,8.273333333333333
180183,女,18会计,633.0,55,第三食堂,67.28363636363636,8.72
180184,女,18会计,512.0,24,第五食堂,21.0725,1.6866666666666668
180187,女,18会计,369.0,40,第二食堂,36.785000000000004,7.906666666666666
180188,女,18会计,646.0,97,第五食堂,132.78556701030928,12.806666666666667
180189,女,18会计,938.0,106,第五食堂,110.47150943396225,10.503333333333334
180191,女,18会计,704.0,94,第五食堂,50.30957446808511,15.446666666666665
180192,女,18会计,910.0,136,第五食堂,61.47867647058824,7.676666666666667
180193,女,18会计,793.0,126,第五食堂,56.32936507936508,12.726666666666667
180194,女,18会计,549.0,15,好利来食品店,41.5,2.4733333333333336
180196,女,18会计,865.0,92,第三食堂,69.23152173913044,12.906666666666666
180197,女,18会计,762.0,76,第五食堂,101.92631578947368,7.333333333333333
180198,女,18会计,936.0,107,第五食堂,33.995327102803735,11.323333333333332
180199,女,18会计,605.0,41,第二食堂,42.34634146341463,5.093333333333334
180200,女,18会计,487.0,21,好利来食品店,79.63333333333333,3.216666666666667
180201,女,18会计,494.0,37,第四食堂,96.71351351351352,6.28
180202,女,18会计,727.0,69,第三食堂,59.66231884057971,8.49
180203,女,18会计,674.0,105,第五食堂,53.758095238095244,10.91
180204,女,18会计,653.0,46,第二食堂,41.72826086956522,6.826666666666667
180206,女,18会计,506.0,35,第五食堂,124.45714285714286,6.723333333333333
180207,女,18会计,489.0,39,第三食堂,42.55102564102564,4.946666666666667
180208,女,18会计,596.0,79,第五食堂,52.45443037974683,7.733333333333333
180209,男,18金融管理,455.0,18,第三食堂,29.61111111111111,3.756666666666667
180210,男,18金融管理,481.0,67,第三食堂,56.36268656716418,12.553333333333335
180212,男,18金融管理,189.0,40,第五食堂,83.295,3.7633333333333336
180213,男,18金融管理,506.0,79,第二食堂,40.706329113924056,8.5
180214,男,18金融管理,178.0,16,第五食堂,49.5625,3.15
180215,男,18金融管理,792.0,38,第五食堂,41.25263157894737,5.319999999999999
180218,男,18金融管理,788.0,107,第二食堂,99.90560747663551,15.5
180221,男,18金融管理,635.0,55,第五食堂,34.36181818181819,8.286666666666667
180222,男,18金融管理,578.0,58,第五食堂,86.99655172413793,11.116666666666667
180224,男,18金融管理,364.0,45,第五食堂,114.61999999999999,7.243333333333334
180225,男,18金融管理,561.0,105,第二食堂,72.80380952380952,8.688666666666668
180226,男,18金融管理,389.0,12,第三食堂,48.275000000000006,3.8
180227,男,18金融管理,408.0,43,第二食堂,48.21395348837209,4.6066666666666665
180228,男,18金融管理,461.0,26,第三食堂,89.08307692307692,6.59
180229,男,18金融管理,299.0,18,第五食堂,55.13333333333334,3.1300000000000003
180231,男,18金融管理,291.0,38,第三食堂,37.46315789473684,19.40666666666667
180232,男,18金融管理,590.0,34,第五食堂,37.84705882352941,6.053333333333333
180233,男,18金融管理,263.0,10,第三食堂,51.16,2.066666666666667
180234,男,18金融管理,365.0,39,第三食堂,90.53846153846153,9.303333333333335
180235,男,18金融管理,309.0,11,第五食堂,28.90909090909091,1.4
180236,男,18金融管理,545.0,84,第五食堂,97.03571428571429,13.483333333333333
180237,男,18金融管理,908.0,89,第五食堂,79.28483146067416,12.22
180239,男,18金融管理,568.0,110,第二食堂,62.74181818181818,10.413333333333332
180240,女,18金融管理,596.0,64,第五食堂,58.4453125,8.356666666666666
180241,女,18金融管理,739.0,95,第五食堂,59.565263157894734,10.896666666666667
180242,女,18金融管理,714.0,72,第五食堂,33.30138888888889,6.61
180243,女,18金融管理,566.0,50,第五食堂,90.78200000000001,7.65
180244,女,18金融管理,678.0,67,第三食堂,72.97462686567164,13.346666666666666
180245,女,18金融管理,284.0,41,第五食堂,55.4609756097561,5.23
180246,女,18金融管理,642.0,77,第三食堂,44.84805194805195,8.693333333333333
180247,女,18金融管理,515.0,42,第五食堂,49.845238095238095,4.819999999999999
180248,女,18金融管理,778.0,69,第三食堂,46.09275362318841,7.466666666666667
180249,女,18金融管理,766.0,71,第五食堂,51.93802816901408,8.246666666666666
180251,女,18金融管理,413.0,38,第五食堂,44.80789473684211,3.8633333333333337
180252,女,18金融管理,618.0,67,第三食堂,63.40402985074626,6.760000000000001
180253,女,18金融管理,637.0,79,第五食堂,63.08987341772152,9.003333333333334
180254,女,18金融管理,623.0,40,第五食堂,99.6125,5.983333333333333
180255,女,18金融管理,874.0,104,第三食堂,76.91346153846153,12.833333333333334
180257,女,18金融管理,858.0,99,第五食堂,154.96363636363637,7.39
180258,女,18金融管理,668.0,84,第五食堂,43.92261904761905,4.8966666666666665
180259,女,18金融管理,522.0,65,第二食堂,66.90615384615384,11.97
180260,女,18金融管理,444.0,35,第五食堂,44.871428571428574,5.166666666666667
180261,女,18金融管理,876.0,81,第五食堂,48.35679012345679,6.293333333333334
180262,女,18金融管理,614.0,84,第二食堂,60.969047619047615,8.23
180264,女,18金融管理,880.0,90,第五食堂,61.67777777777778,12.696666666666665
180265,女,18金融管理,840.0,102,第五食堂,50.38039215686275,8.65
180266,女,18金融管理,734.0,88,第五食堂,93.18409090909091,5.653333333333333
180267,女,18金融管理,798.0,73,第五食堂,30.023287671232875,7.763333333333334
180268,女,18金融管理,727.0,97,第五食堂,66.71288659793814,9.507
180269,女,18金融管理,493.0,41,第五食堂,42.03658536585366,3.42
180272,女,18金融管理,609.0,51,第五食堂,49.022745098039216,4.743333333333334
180273,女,18金融管理,158.0,37,第一食堂,63.013513513513516,4.73
180274,女,18金融管理,1032.0,123,第五食堂,132.78943089430894,9.316666666666666
180275,女,18金融管理,657.0,64,第五食堂,51.2671875,4.65
180276,女,18金融管理,777.0,99,第五食堂,62.77171717171717,12.683333333333334
180277,女,18金融管理,806.0,69,第五食堂,78.39275362318841,8.213333333333333
180278,女,18金融管理,829.0,111,第三食堂,69.82162162162162,11.156666666666666
180279,女,18金融管理,630.0,69,第五食堂,79.96376811594203,13.3
180280,女,18金融管理,535.0,79,第五食堂,48.86202531645569,10.946666666666665
180281,女,18金融管理,775.0,67,第三食堂,57.88955223880597,10.503333333333334
180282,女,18金融管理,845.0,118,第五食堂,64.13135593220339,14.926666666666668
180283,女,18金融管理,581.0,71,第五食堂,125.72816901408451,10.33
180285,女,18金融管理,505.0,46,好利来食品店,127.93478260869566,7.88
180286,女,18金融管理,717.0,98,第五食堂,57.6,7.293333333333334
180287,女,18金融管理,1071.0,107,第三食堂,56.69906542056075,12.203333333333335
180288,女,18金融管理,821.0,145,第五食堂,95.28551724137931,22.626666666666665
180291,女,18金融管理,650.0,52,第五食堂,50.88653846153846,5.623333333333333
180292,女,18金融管理,289.0,52,第二食堂,41.77307692307692,4.923333333333333
180293,女,18金融管理,810.0,116,第五食堂,82.27327586206897,17.43
180294,女,18金融管理,490.0,50,第五食堂,53.47599999999999,5.886666666666667
180295,女,18金融管理,677.0,97,第五食堂,67.65876288659794,15.833333333333334
180296,女,18金融管理,845.0,92,第三食堂,55.05652173913043,9.620000000000001
180297,女,18金融管理,638.0,50,第三食堂,57.768,4.23
180298,女,18金融管理,698.0,67,第五食堂,126.7044776119403,5.576666666666667
180299,女,18金融管理,483.0,58,第五食堂,56.04137931034483,6.253333333333333
180300,女,18金融管理,297.0,18,好利来食品店,63.78888888888889,6.6866666666666665
180302,女,18金融管理,197.0,16,第五食堂,50.775,3.146666666666667
180304,女,18金融管理,339.0,18,第四食堂,55.87222222222223,4.193333333333333
180305,女,18金融管理,626.0,83,第五食堂,151.55180722891566,9.151666666666667
180306,女,18金融管理,628.0,16,好利来食品店,54.33125,3.143333333333333
180308,女,18金融管理,777.0,59,第三食堂,72.92101694915254,7.16
180309,女,18金融管理,677.0,96,第五食堂,58.768750000000004,15.933333333333334
180311,女,18金融管理,515.0,37,第三食堂,56.18648648648649,7.05
180312,女,18金融管理,476.0,33,第五食堂,50.86212121212122,4.7
180313,女,18金融管理,685.0,147,第二食堂,146.76666666666668,13.013333333333332
180314,女,18金融管理,749.0,72,第三食堂,57.087500000000006,16.113333333333333
180315,女,18金融管理,442.0,34,第二食堂,29.511764705882353,3.96
180316,女,18金融管理,686.0,101,第三食堂,58.60693069306931,7.383333333333334
180317,女,18金融管理,875.0,111,第五食堂,70.8535135135135,8.889999999999999
180318,女,18金融管理,768.0,114,第五食堂,49.71578947368421,9.996666666666666
180319,女,18金融管理,434.0,42,第五食堂,64.32380952380952,5.033333333333333
180320,女,18金融管理,433.0,51,第二食堂,93.13725490196079,9.196666666666665
180321,女,18金融管理,793.0,63,第五食堂,71.11904761904762,7.543333333333334
180323,女,18金融管理,433.0,60,第二食堂,23.191666666666666,6.996666666666667
180325,女,18金融管理,751.0,90,第五食堂,99.59333333333333,18.146666666666665
180326,女,18金融管理,665.0,74,第五食堂,103.85270270270271,5.333333333333333
180327,女,18金融管理,444.0,39,第五食堂,60.99230769230769,3.6199999999999997
180328,女,18金融管理,561.0,76,第五食堂,78.43157894736842,12.6
180331,女,18金融管理,916.0,165,第五食堂,50.75151515151515,13.446666666666665
180332,女,18金融管理,789.0,100,第五食堂,51.223,10.273333333333333
180333,女,18金融管理,834.0,62,第三食堂,53.501612903225805,5.683333333333334
180334,女,18金融管理,924.0,88,第三食堂,58.90909090909091,9.54
180335,女,18金融管理,713.0,60,第五食堂,90.68166666666666,4.72
180336,女,18金融管理,385.0,63,第二食堂,160.88730158730158,13.023333333333333
180337,女,18金融管理,533.0,47,第五食堂,53.98297872340425,6.923333333333333
180338,女,18金融管理,663.0,66,第五食堂,123.07666666666667,7.5633333333333335
180339,女,18金融管理,841.0,110,第五食堂,115.86636363636363,8.763333333333332
180340,男,18审计,739.0,75,第五食堂,43.24666666666667,8.193333333333333
180341,男,18审计,496.0,41,第五食堂,48.4390243902439,6.6866666666666665
180342,男,18审计,809.0,150,第五食堂,64.25466666666667,10.389999999999999
180343,男,18审计,1157.0,131,第五食堂,59.64274809160305,14.556666666666667
180344,男,18审计,658.0,75,第五食堂,41.821333333333335,8.066666666666666
180345,男,18审计,999.0,117,第一食堂,54.91538461538462,13.453333333333335
180346,男,18审计,947.0,61,第一食堂,76.39999999999999,9.8
180348,女,18审计,596.0,50,第五食堂,49.512,7.83
180351,女,18审计,694.0,54,第五食堂,62.1,7.886666666666667
180352,女,18审计,619.0,47,第五食堂,41.94468085106383,9.673333333333334
180353,女,18审计,672.0,69,第四食堂,72.20289855072464,11.986666666666668
180354,女,18审计,409.0,39,第三食堂,87.85384615384616,8.473333333333333
180355,女,18审计,539.0,46,第五食堂,48.74347826086956,7.086666666666667
180356,女,18审计,706.0,58,第二食堂,88.53275862068965,7.1033333333333335
180357,女,18审计,532.0,56,第五食堂,58.971428571428575,9.32
180358,女,18审计,508.0,52,第三食堂,100.84423076923078,12.726666666666667
180359,女,18审计,567.0,86,第五食堂,64.84651162790698,5.086666666666667
180360,女,18审计,745.0,104,第五食堂,54.43846153846153,5.343333333333334
180361,女,18审计,554.0,64,第三食堂,51.8078125,4.793333333333334
180362,女,18审计,363.0,37,好利来食品店,91.5027027027027,6.6466666666666665
180363,女,18审计,997.0,166,第三食堂,111.6409638554217,17.563333333333333
180364,女,18审计,718.0,50,好利来食品店,49.394,5.783333333333333
180367,女,18审计,1137.0,167,第五食堂,57.141916167664675,9.096666666666666
180368,女,18审计,441.0,42,第五食堂,43.23095238095238,3.506666666666667
180369,女,18审计,583.0,54,第五食堂,142.67777777777778,3.69
180370,女,18审计,130.0,27,第二食堂,193.85925925925926,5.1466666666666665
180371,女,18审计,852.0,116,第二食堂,54.20775862068966,11.46
180373,女,18审计,848.0,110,第二食堂,212.57545454545453,11.373333333333333
180375,女,18审计,542.0,72,第五食堂,238.46249999999998,17.89
180377,女,18审计,749.0,90,第五食堂,58.784444444444446,6.86
180378,女,18审计,461.0,35,第三食堂,43.63999999999999,4.203333333333333
180381,女,18审计,715.0,99,第五食堂,67.74242424242425,5.083333333333333
180382,女,18审计,653.0,109,第五食堂,75.13706422018348,5.756666666666666
180383,女,18审计,680.0,93,第五食堂,60.2236559139785,7.89
180384,女,18审计,891.0,108,第五食堂,114.2601851851852,10.816666666666666
180385,女,18审计,720.0,89,第二食堂,152.49887640449438,10.81
180386,女,18审计,687.0,46,第五食堂,59.33695652173913,8.15
180387,女,18审计,602.0,93,第五食堂,129.4559139784946,5.453333333333333
180389,女,18审计,570.0,62,第一食堂,83.66129032258064,8.12
180390,女,18审计,571.0,50,第三食堂,48.1,4.283333333333333
180391,女,18审计,676.0,50,第五食堂,51.318000000000005,6.95
180392,女,18审计,876.0,101,第二食堂,81.03366336633663,12.076666666666666
180393,女,18审计,764.0,83,第三食堂,120.75060240963855,11.54
180394,女,18审计,1061.0,158,第五食堂,68.32594936708861,8.629999999999999
180395,女,18审计,620.0,98,第五食堂,72.89999999999999,7.836666666666667
180396,女,18审计,716.0,72,第五食堂,60.63472222222222,7.47
180397,女,18审计,819.0,123,第五食堂,65.10731707317073,9.943333333333333
180398,女,18审计,729.0,79,第三食堂,64.11392405063292,12.639999999999999
180399,女,18审计,770.0,110,第三食堂,98.11272727272727,12.926666666666668
180400,女,18审计,487.0,47,第三食堂,101.97659574468085,4.046666666666667
180401,女,18审计,767.0,75,第五食堂,168.42933333333335,6.453333333333333
180402,女,18审计,618.0,70,第五食堂,61.26714285714286,9.639999999999999
180403,女,18审计,580.0,68,第五食堂,44.92058823529412,10.703333333333335
180405,女,18审计,632.0,77,第五食堂,182.18051948051948,11.116666666666667
180406,女,18审计,1133.0,156,第五食堂,57.795512820512826,9.34
180407,女,18审计,660.0,74,第二食堂,68.74054054054054,8.286666666666667
180408,女,18审计,854.0,93,第五食堂,101.38494623655913,11.283333333333333
180409,女,18审计,877.0,114,第五食堂,108.35333333333334,11.093
180410,女,18审计,707.0,57,第五食堂,42.89298245614035,7.9
180411,女,18审计,884.0,115,第三食堂,51.26391304347826,10.834333333333335
180412,女,18审计,875.0,122,第五食堂,69.42213114754098,7.510000000000001
180414,女,18审计,787.0,108,第五食堂,49.59074074074074,7.333333333333333
180415,女,18审计,775.0,96,第三食堂,54.753125000000004,8.96
180416,女,18审计,595.0,82,第五食堂,127.18658536585365,6.506666666666666
180417,女,18审计,587.0,79,第二食堂,346.80936708860764,8.9
180420,女,18审计,707.0,80,第五食堂,57.53375,4.77
180422,女,18审计,455.0,40,第五食堂,58.317499999999995,2.61
180423,女,18审计,1062.0,134,第五食堂,59.86492537313433,8.79
180424,女,18审计,305.0,17,第五食堂,33.86470588235294,2.55
180425,女,18审计,638.0,67,第三食堂,43.819402985074625,7.78
180428,男,18投资与理财,511.0,57,第五食堂,185.14912280701753,13.413333333333332
180430,男,18投资与理财,155.0,21,第二食堂,34.43333333333334,3.5866666666666664
180431,男,18投资与理财,357.0,26,第五食堂,53.965384615384615,4.633333333333334
180432,男,18投资与理财,465.0,75,第五食堂,58.282666666666664,12.636666666666667
180433,男,18投资与理财,875.0,112,第五食堂,57.331250000000004,13.8
180435,男,18投资与理财,478.0,106,第五食堂,84.55660377358491,24.61
180439,男,18投资与理财,728.0,97,第五食堂,49.9639175257732,10.663333333333332
180440,男,18投资与理财,725.0,53,第五食堂,69.63207547169812,6.753333333333333
180442,男,18投资与理财,661.0,14,第五食堂,20.178571428571427,4.346666666666667
180443,男,18投资与理财,596.0,74,第五食堂,77.95945945945945,10.773333333333333
180444,女,18投资与理财,741.0,84,第三食堂,63.05476190476191,8.506666666666666
180445,女,18投资与理财,760.0,101,第五食堂,62.024752475247524,9.120000000000001
180446,女,18投资与理财,628.0,61,第五食堂,48.94098360655738,8.773333333333333
180448,女,18投资与理财,532.0,81,第三食堂,74.38641975308643,11.586666666666668
180449,女,18投资与理财,660.0,67,第二食堂,96.29373134328357,11.046666666666665
180450,女,18投资与理财,780.0,84,第三食堂,61.398809523809526,9.486666666666668
180451,女,18投资与理财,522.0,130,第二食堂,60.776153846153846,16.86
180452,女,18投资与理财,484.0,39,第二食堂,25.812564102564103,3.0866666666666664
180453,女,18投资与理财,581.0,50,第一食堂,46.188,7.453333333333333
180454,女,18投资与理财,742.0,101,第五食堂,176.25148514851486,8.706666666666667
180455,女,18投资与理财,708.0,74,第三食堂,246.05405405405406,11.870000000000001
180456,女,18投资与理财,738.0,78,第三食堂,166.83076923076922,14.423333333333334
180457,女,18投资与理财,946.0,121,第五食堂,92.65917355371901,11.270000000000001
180459,女,18投资与理财,896.0,148,第五食堂,89.29864864864865,14.24
180460,女,18投资与理财,865.0,121,第五食堂,105.08322314049586,8.843333333333334
180461,女,18投资与理财,279.0,27,第五食堂,61.01851851851852,4.983333333333333
180462,女,18投资与理财,735.0,97,第五食堂,43.38453608247423,5.52
180464,女,18投资与理财,747.0,91,第五食堂,47.88461538461539,7.62
